upc,title,category,price,currency,rating_1_to_5,in_stock,stock_count,source_url,scraped_at_utc
a897fe39b1053632,A Light in the Attic,Poetry,51.77,GBP,3,yes,22,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,2026-09-17T11:09:56Z
90fa61229261140a,Tipping the Velvet,Historical Fiction,53.74,GBP,1,yes,20,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,2026-09-17T11:09:57Z
6957f44c3847a760,Soumission,Fiction,50.1,GBP,1,yes,20,https://books.toscrape.com/catalogue/soumission_998/index.html,2026-09-17T11:09:58Z
e00eb4fd7b871a48,Sharp Objects,Mystery,47.82,GBP,4,yes,20,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,2026-09-17T11:09:59Z
4165285e1663650f,Sapiens: A Brief History of Humankind,History,54.23,GBP,5,yes,20,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,2026-09-17T11:10:00Z
f77dbf2323deb740,The Requiem Red,Young Adult,22.65,GBP,1,yes,19,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,2026-09-17T11:10:01Z
2597b5a345f45e1b,The Dirty Little Secrets of Getting Your Dream Job,Business,33.34,GBP,4,yes,19,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,2026-09-17T11:10:03Z
e72a5dfc7e9267b2,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,17.93,GBP,3,yes,19,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,2026-09-17T11:10:04Z
e10e1e165dc8be4a,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,22.6,GBP,4,yes,19,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,2026-09-17T11:10:05Z
1dfe412b8ac00530,The Black Maria,Poetry,52.15,GBP,1,yes,19,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,2026-09-17T11:10:06Z
0312262ecafa5a40,"Starving Hearts (Triangular Trade Trilogy, #1)",Default,13.99,GBP,2,yes,19,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,2026-09-17T11:10:07Z
30a7f60cd76ca58c,Shakespeare's Sonnets,Poetry,20.66,GBP,4,yes,19,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,2026-09-17T11:10:08Z
ce6396b0f23f6ecc,Set Me Free,Young Adult,17.46,GBP,5,yes,19,https://books.toscrape.com/catalogue/set-me-free_988/index.html,2026-09-17T11:10:09Z
3b1c02bac2a429e6,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,GBP,5,yes,19,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,2026-09-17T11:10:10Z
a34ba96d4081e6a4,Rip it Up and Start Again,Music,35.02,GBP,5,yes,19,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,2026-09-17T11:10:12Z
deda3e61b9514b83,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,57.25,GBP,3,yes,19,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,2026-09-17T11:10:13Z
feb7cc7701ecf901,Olio,Poetry,23.88,GBP,1,yes,19,https://books.toscrape.com/catalogue/olio_984/index.html,2026-09-17T11:10:14Z
e30f54cea9b38190,Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,37.59,GBP,1,yes,19,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,2026-09-17T11:10:15Z
a18a4f574854aced,Libertarianism for Beginners,Politics,51.33,GBP,2,yes,19,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,2026-09-17T11:10:16Z
a22124811bfa8350,It's Only the Himalayas,Travel,45.17,GBP,2,yes,19,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,2026-09-17T11:10:17Z
23356462d1320d61,In Her Wake,Thriller,12.84,GBP,1,yes,19,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,2026-09-17T11:10:20Z
327f68a59745c102,How Music Works,Music,37.32,GBP,2,yes,19,https://books.toscrape.com/catalogue/how-music-works_979/index.html,2026-09-17T11:10:21Z
5674a18a29a43ced,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,30.52,GBP,3,yes,19,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,2026-09-17T11:10:22Z
c2e46a2ee3b4a322,Chase Me (Paris Nights #2),Romance,25.27,GBP,5,yes,19,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,2026-09-17T11:10:23Z
00bfed9e18bb36f3,Black Dust,Romance,34.53,GBP,5,yes,19,https://books.toscrape.com/catalogue/black-dust_976/index.html,2026-09-17T11:10:24Z
9528d0948525bf5f,Birdsong: A Story in Pictures,Childrens,54.64,GBP,3,yes,19,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,2026-09-17T11:10:25Z
c7d160c2c0de586f,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,22.5,GBP,3,yes,19,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,2026-09-17T11:10:27Z
904208d6aa64b655,Aladdin and His Wonderful Lamp,Default,53.13,GBP,3,yes,19,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,2026-09-17T11:10:28Z
